meta.analysis.id,meta.analysis.year,response.variable,study,study.id,study.id.cumulative,study.year,id.effect.within.study,eff.size.measure,eff.size,var.eff.size,weighted.eff.size,weight
65,2017,NH4.flux,Dauss et al.. 2012,2,2101,2012,3,log.ratio,8.2721,422.4629,0.019580654,0.002367072
65,2017,NH4.flux,Dauss et al.. 2012,2,2101,2012,4,log.ratio,3.5287,89.1847,0.039566204,0.011212686
65,2017,NH4.flux,Dauss et al.. 2012,2,2101,2012,5,log.ratio,5.8826,139.9055,0.042046953,0.007147682
65,2017,NH4.flux,Dauss et al.. 2012,2,2101,2012,6,log.ratio,7.7152,89.757,0.085956527,0.011141192
65,2017,NH4.flux,Ardon et al.. 2013,3,2102,2013,1,log.ratio,-0.0457,1.4579,-0.031346457,0.685918101
65,2017,NH4.flux,Ardon et al.. 2013,3,2102,2013,2,log.ratio,-2.9267,243.096,-0.012039277,0.004113601
65,2017,NH4.flux,Ardon et al.. 2013,3,2102,2013,3,log.ratio,0.2443,1.1224,0.217658589,0.890947969
65,2017,NH4.flux,Ardon et al.. 2013,3,2102,2013,4,log.ratio,1.3568,0.7418,1.829064438,1.348072257
65,2017,NH4.flux,Noe et al.. 2013,4,2103,2013,1,log.ratio,0.4829,0.4725,1.022010582,2.116402116
65,2017,NH4.flux,Noe et al.. 2013,4,2103,2013,2,log.ratio,0.865,0.3472,2.491359447,2.880184332
65,2017,NH4.flux,Noe et al.. 2013,4,2103,2013,3,log.ratio,0.9634,0.267,3.6082397,3.745318352
65,2017,NH4.flux,Noe et al.. 2013,4,2103,2013,4,log.ratio,2.0149,0.2765,7.28716094,3.616636528
65,2017,NH4.flux,Noe et al.. 2013,4,2103,2013,5,log.ratio,1.8814,0.2176,8.646139706,4.595588235
65,2017,NH4.flux,Noe et al.. 2013,4,2103,2013,6,log.ratio,1.9994,0.0664,30.11144578,15.06024096
66,2017,NO3.flux,Singh et al.. 2002,1,2104,2002,1,log.ratio,2.0823,730.2795,0.002851374,0.001369339
66,2017,NO3.flux,Singh et al.. 2002,1,2104,2002,2,log.ratio,4.4394,719.2072,0.00617263,0.00139042
66,2017,NO3.flux,Dauss et al.. 2012,2,2105,2012,1,log.ratio,-1.7492,2.4819,-0.704782626,0.40291712
66,2017,NO3.flux,Dauss et al.. 2012,2,2105,2012,2,log.ratio,-0.4964,1.6095,-0.308418764,0.621310966
66,2017,NO3.flux,Dauss et al.. 2012,2,2105,2012,3,log.ratio,2.656757056,1.6095,1.650672293,0.621310966
66,2017,NO3.flux,Dauss et al.. 2012,2,2105,2012,4,log.ratio,2.870571464,1.6095,1.78351753,0.621310966
66,2017,NO3.flux,Dauss et al.. 2012,2,2105,2012,5,log.ratio,4.6623,1.3333,3.49681242,0.75001875
66,2017,NO3.flux,Dauss et al.. 2012,2,2105,2012,6,log.ratio,5.4733,1.1906,4.597093902,0.839912649
66,2017,NO3.flux,Ardon et al.. 2013,3,2106,2013,1,log.ratio,-0.5108,0.431,-1.185150812,2.320185615
66,2017,NO3.flux,Ardon et al.. 2013,3,2106,2013,2,log.ratio,-1.6094,2.966,-0.542616318,0.337154417
66,2017,NO3.flux,Ardon et al.. 2013,3,2106,2013,3,log.ratio,-1.8971,5.1841,-0.365945873,0.192897514
66,2017,NO3.flux,Ardon et al.. 2013,3,2106,2013,4,log.ratio,0.4383,0.1616,2.712252475,6.188118812
66,2017,NO3.flux,Noe et al.. 2013,4,2107,2013,1,log.ratio,-1.8101,0.2619,-6.911416571,3.818251241
66,2017,NO3.flux,Noe et al.. 2013,4,2107,2013,2,log.ratio,-0.948,0.1884,-5.031847134,5.307855626
66,2017,NO3.flux,Noe et al.. 2013,4,2107,2013,3,log.ratio,-1.0198,0.2556,-3.989827856,3.912363067
66,2017,NO3.flux,Noe et al.. 2013,4,2107,2013,4,log.ratio,-0.9368,0.6268,-1.494575622,1.595405233
66,2017,NO3.flux,Noe et al.. 2013,4,2107,2013,5,log.ratio,0.009,0.2486,0.036202735,4.022526146
66,2017,NO3.flux,Noe et al.. 2013,4,2107,2013,6,log.ratio,0.7214,0.305,2.365245902,3.278688525
67,2017,NO2.flux,Singh et al.. 2002,1,2108,2002,1,log.ratio,0.4951,17.3706,0.028502182,0.057568535
67,2017,NO2.flux,Singh et al.. 2002,1,2108,2002,2,log.ratio,2.4836,12.7534,0.194740226,0.078410463
67,2017,NO2.flux,Nielsen et al.. 2009,2,2109,2009,1,log.ratio,0,0.6667,0,1.499925004
67,2017,NO2.flux,Nielsen et al.. 2009,2,2109,2009,2,log.ratio,0,0.6667,0,1.499925004
67,2017,NO2.flux,Nielsen et al.. 2009,2,2109,2009,3,log.ratio,0,0.6667,0,1.499925004
67,2017,NO2.flux,Nielsen et al.. 2009,2,2109,2009,4,log.ratio,6.1944,0.3889,15.92800206,2.571355104
67,2017,NO2.flux,Nielsen et al.. 2009,2,2109,2009,5,log.ratio,6.5653,0.335,19.59791045,2.985074627
67,2017,NO2.flux,Nielsen et al.. 2009,2,2109,2009,6,log.ratio,7.7231,0.3454,22.35987261,2.895193978
67,2017,NO2.flux,Dauss et al.. 2012,3,2110,2012,1,log.ratio,-0.69311598,10.83,-0.063999629,0.092336103
67,2017,NO2.flux,Dauss et al.. 2012,3,2110,2012,2,log.ratio,0.6005,110.7304,0.005423082,0.009030944
67,2017,NO2.flux,Dauss et al.. 2012,3,2110,2012,3,log.ratio,0.6539,101.4553,0.006445203,0.009856558
67,2017,NO2.flux,Dauss et al.. 2012,3,2110,2012,4,log.ratio,1.3472,22.8933,0.058846912,0.043680902
67,2017,NO2.flux,Dauss et al.. 2012,3,2110,2012,5,log.ratio,2.4457,10.8965,0.224448217,0.091772588
67,2017,NO2.flux,Dauss et al.. 2012,3,2110,2012,6,log.ratio,3.2929,10.83,0.304053555,0.092336103
